Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy)
Australia and New Zealand,8.5,7.323499999999999,1.402545,1.13877,0.84108
Central and Eastern Europe,78.44827586206897,5.3706896551724155,1.0475368965517242,0.8618551724137931,0.6315920689655172
Eastern Asia,67.16666666666667,5.624166666666667,1.2773116666666666,0.9104283333333334,0.8066800000000001
Latin America and Caribbean,48.333333333333336,6.10175,0.9934099999999999,0.8984320833333334,0.6127025
Middle East and Northern Africa,78.10526315789474,5.386052631578948,1.1393231578947365,0.6956442105263158,0.6164378947368421
North America,9.5,7.254,1.474055,1.07196,0.8033
Southeastern Asia,80.0,5.338888888888889,0.8963811111111111,0.7917555555555555,0.5613688888888889
Southern Asia,111.71428571428571,4.563285714285715,0.6606714285714287,0.4806942857142857,0.45366999999999996
Sub-Saharan Africa,129.6578947368421,4.136421052631578,0.4743213157894739,0.5936555263157894,0.23987236842105264
Western Europe,29.19047619047619,6.685666666666665,1.4170557142857145,1.0424523809523807,0.8257538095238095
