,Country,Country_Code,Happiness Score,HDI 2016
0,Denmark,DNK,7.526,0.928
1,Switzerland,CHE,7.508999999999999,0.943
2,Iceland,ISL,7.501,0.933
3,Norway,NOR,7.497999999999998,0.951
4,Finland,FIN,7.4129999999999985,0.918
5,Canada,CAN,7.404,0.922
6,Netherlands,NLD,7.338999999999999,0.928
7,New Zealand,NZL,7.334,0.915
8,Australia,AUS,7.313,0.938
9,Sweden,SWE,7.291,0.932
10,Israel,ISR,7.267,0.902
11,Austria,AUT,7.119,0.906
12,United States,USA,7.104,0.922
13,Costa Rica,CRI,7.0870000000000015,0.7909999999999999
14,Germany,DEU,6.994,0.934
15,Brazil,BRA,6.952000000000001,0.758
16,Belgium,BEL,6.9289999999999985,0.915
17,Ireland,IRL,6.907,0.934
18,Luxembourg,LUX,6.871,0.904
19,Mexico,MEX,6.778,0.772
20,Singapore,SGP,6.739,0.93
21,United Kingdom,GBR,6.725,0.92
22,Chile,CHL,6.705,0.8420000000000001
23,Panama,PAN,6.7010000000000005,0.785
24,Argentina,ARG,6.65,0.8220000000000001
25,Czech Republic,CZE,6.596,0.885
26,United Arab Emirates,ARE,6.573,0.862
27,Uruguay,URY,6.545,0.802
28,Malta,MLT,6.488,0.875
29,Colombia,COL,6.481,0.747
30,France,FRA,6.478,0.899
31,Thailand,THA,6.474,0.748
32,Saudi Arabia,SAU,6.379,0.8540000000000001
33,Qatar,QAT,6.375,0.855
34,Spain,ESP,6.3610000000000015,0.889
35,Algeria,DZA,6.355,0.753
36,Guatemala,GTM,6.324,0.649
37,Suriname,SUR,6.269,0.7190000000000001
38,Kuwait,KWT,6.239,0.804
39,Bahrain,BHR,6.218,0.846
40,Trinidad and Tobago,TTO,6.167999999999998,0.785
41,Venezuela,VEN,6.084,0.7659999999999999
42,Slovakia,SVK,6.0779999999999985,0.853
43,El Salvador,SLV,6.068,0.679
44,Malaysia,MYS,6.005,0.799
45,Nicaragua,NIC,5.992000000000001,0.657
46,Uzbekistan,UZB,5.987,0.703
47,Italy,ITA,5.977,0.878
48,Ecuador,ECU,5.976,0.7490000000000001
49,Belize,BLZ,5.956,0.7090000000000001
50,Japan,JPN,5.921,0.907
51,Kazakhstan,KAZ,5.919,0.797
52,Moldova,MDA,5.897,0.6970000000000001
53,Poland,POL,5.835,0.86
54,Bolivia,BOL,5.822,0.6890000000000001
55,Lithuania,LTU,5.813,0.855
56,Belarus,BLR,5.8020000000000005,0.805
57,Slovenia,SVN,5.768,0.894
58,Peru,PER,5.7429999999999986,0.748
59,Turkmenistan,TKM,5.658,0.705
60,Mauritius,MUS,5.648,0.7879999999999999
61,Libya,LBY,5.615,0.693
62,Latvia,LVA,5.56,0.8440000000000001
63,Cyprus,CYP,5.546,0.867
64,Paraguay,PRY,5.5379999999999985,0.7020000000000001
65,Romania,ROU,5.528,0.807
66,Estonia,EST,5.517,0.868
67,Jamaica,JAM,5.51,0.732
68,Croatia,HRV,5.488,0.828
69,Hong Kong,HKG,5.457999999999998,0.93
70,Turkey,TUR,5.3889999999999985,0.787
71,Indonesia,IDN,5.314,0.691
72,Jordan,JOR,5.303,0.735
73,Azerbaijan,AZE,5.291,0.757
74,Philippines,PHL,5.279,0.696
75,China,CHN,5.245,0.748
76,Bhutan,BTN,5.1960000000000015,0.609
77,Kyrgyzstan,KGZ,5.185,0.669
78,Serbia,SRB,5.1770000000000005,0.785
79,Bosnia and Herzegovina,BIH,5.1629999999999985,0.7659999999999999
80,Montenegro,MNE,5.1610000000000005,0.81
81,Dominican Republic,DOM,5.155,0.733
82,Morocco,MAR,5.151,0.662
83,Hungary,HUN,5.145,0.835
84,Pakistan,PAK,5.1320000000000014,0.56
85,Lebanon,LBN,5.129,0.753
86,Portugal,PRT,5.122999999999998,0.845
87,Vietnam,VNM,5.061,0.6890000000000001
88,Tunisia,TUN,5.045,0.732
89,Greece,GRC,5.033,0.868
90,Tajikistan,TJK,4.996,0.647
91,Mongolia,MNG,4.907,0.743
92,Nigeria,NGA,4.875,0.53
93,Honduras,HND,4.871,0.614
94,Zambia,ZMB,4.795,0.586
95,Nepal,NPL,4.793,0.569
96,Albania,ALB,4.655,0.782
97,Bangladesh,BGD,4.643,0.597
98,Sierra Leone,SLE,4.635,0.413
99,Iraq,IRQ,4.575,0.672
100,Namibia,NAM,4.574,0.645
101,Cameroon,CMR,4.513,0.5529999999999999
102,Ethiopia,ETH,4.508,0.457
103,South Africa,ZAF,4.459,0.696
104,Sri Lanka,LKA,4.415,0.768
105,India,IND,4.404,0.636
106,Myanmar,MMR,4.395,0.574
107,Egypt,EGY,4.362,0.6940000000000001
108,Armenia,ARM,4.36,0.7490000000000001
109,Kenya,KEN,4.356,0.585
110,Ukraine,UKR,4.324,0.746
111,Ghana,GHA,4.276,0.588
112,Georgia,GEO,4.252,0.7759999999999999
113,Senegal,SEN,4.2189999999999985,0.499
114,Bulgaria,BGR,4.217,0.81
115,Mauritania,MRT,4.2010000000000005,0.516
116,Zimbabwe,ZWE,4.1930000000000005,0.532
117,Malawi,MWI,4.1560000000000015,0.474
118,Sudan,SDN,4.1389999999999985,0.499
119,Gabon,GAB,4.121,0.698
120,Mali,MLI,4.073,0.421
121,Haiti,HTI,4.0280000000000005,0.496
122,Botswana,BWA,3.974,0.7120000000000001
123,Comoros,COM,3.956,0.502
124,Cambodia,KHM,3.907,0.5760000000000001
125,Angola,AGO,3.866,0.5770000000000001
126,Niger,NER,3.856,0.35100000000000003
127,South Sudan,SSD,3.832,0.394
128,Chad,TCD,3.763,0.405
129,Burkina Faso,BFA,3.739,0.42
130,Uganda,UGA,3.739,0.508
131,Yemen,YEM,3.724,0.462
132,Madagascar,MDG,3.695,0.517
133,Tanzania,TZA,3.666,0.5329999999999999
134,Liberia,LBR,3.622,0.4320000000000001
135,Guinea,GIN,3.607,0.449
136,Rwanda,RWA,3.515,0.52
137,Benin,BEN,3.484,0.512
